tok_embeddings.weight norm=1.5377819538e-01
layers.10._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=2.2619797383e-03
layers.10._checkpoint_wrapped_module.delta_attention.beta.weight norm=2.8856671415e-03
layers.10._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=2.9931599274e-03
layers.10._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=2.1891738288e-04
layers.10._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=1.0744020343e-02
layers.10._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=9.5183217525e-01
layers.10._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=9.7015255690e-01
layers.10._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=9.7084122896e-01
layers.10._checkpoint_wrapped_module.moe.router.gate.weight norm=1.4904423058e-01
layers.10._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=4.2101398110e-01
layers.10._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=2.9234102368e-01
layers.10._checkpoint_wrapped_module.moe.routed_down.weight norm=1.3869591951e+00
layers.10._checkpoint_wrapped_module.moe.routed_norm.weight norm=1.8814949319e-02
layers.10._checkpoint_wrapped_module.moe.routed_up.weight norm=9.6395254135e-01
layers.10._checkpoint_wrapped_module.attention_norm.weight norm=3.6685448140e-04
layers.10._checkpoint_wrapped_module.ffn_norm.weight norm=2.8647374362e-02
layers.10._checkpoint_wrapped_module.attention_res_norm.weight norm=1.3565664995e-04
layers.10._checkpoint_wrapped_module.attention_res_proj.weight norm=6.6745025106e-03
layers.10._checkpoint_wrapped_module.ffn_res_norm.weight norm=1.1507032439e-02
layers.10._checkpoint_wrapped_module.ffn_res_proj.weight norm=6.0235428810e-01
layers.11._checkpoint_wrapped_module.attention.wq_a.weight norm=6.8949824199e-03
layers.11._checkpoint_wrapped_module.attention.q_norm.weight norm=1.3750452490e-04
layers.11._checkpoint_wrapped_module.attention.wq_b.weight norm=6.9515444338e-03
layers.11._checkpoint_wrapped_module.attention.wkv_a.weight norm=1.5061448514e-01
layers.11._checkpoint_wrapped_module.attention.kv_norm.weight norm=3.1307593454e-03
layers.11._checkpoint_wrapped_module.attention.wkv_b.weight norm=1.4006143808e-01
layers.11._checkpoint_wrapped_module.attention.gate.weight norm=2.2184038535e-02
