act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
| 4 x 2 | 64 | 8 | 8 | 11.6 | 38 (r1) | 125 (16) | 26 | 1.5 | 229 | 0% | 0 / 2 |
| 4 x 3 | 8 | 1 | 12 | 7.8 | 224 (r1) | 113 (16) | 185 | 16.8 | 27 | 85% | 0 / 17 |
| 4 x 3 | 16 | 1 | 12 | 7.8 | 131 (r1) | 113 (16) | 185 | 16.8 | 120 | 35% | 0 / 17 |
| 4 x 3 | 32 | 1 | 12 | 7.8 | 85 (r1) | 113 (16) | 185 | 16.8 | 166 | 10% | 0 / 17 |
| 4 x 3 | 64 | 1 | 12 | 7.8 | 63 (r0) | 113 (16) | 185 | 16.8 | 189 | 0% | 0 / 17 |
| 4 x 3 | 8 | 2 | 12 | 7.8 | 211 (r1) | 113 (16) | 92 | 8.4 | 49 | 47% | 0 / 9 |
| 4 x 3 | 16 | 2 | 12 | 7.8 | 118 (r1) | 113 (16) | 92 | 8.4 | 142 | 0% | 0 / 9 |
| 4 x 3 | 32 | 2 | 12 | 7.8 | 71 (r1) | 113 (16) | 92 | 8.4 | 189 | 0% | 0 / 9 |
| 4 x 3 | 64 | 2 | 12 | 7.8 | 48 (r1) | 113 (16) | 92 | 8.4 | 212 | 0% | 0 / 9 |
| 4 x 3 | 8 | 8 | 12 | 7.8 | 201 (r1) | 113 (16) | 23 | 2.1 | 66 | 0% | 0 / 2 |
| 4 x 3 | 16 | 8 | 12 | 7.8 | 108 (r1) | 113 (16) | 23 | 2.1 | 159 | 0% | 0 / 2 |
| 4 x 3 | 32 | 8 | 12 | 7.8 | 61 (r1) | 113 (16) | 23 | 2.1 | 205 | 0% | 0 / 2 |
| 4 x 3 | 64 | 8 | 12 | 7.8 | 38 (r1) | 113 (16) | 23 | 2.1 | 228 | 0% | 0 / 2 |
| 4 x 4 | 8 | 1 | 16 | 5.8 | 225 (r1) | 107 (16) | 175 | 20.8 | 22 | 87% | 0 / 17 |
| 4 x 4 | 16 | 1 | 16 | 5.8 | 132 (r1) | 107 (16) | 175 | 20.8 | 115 | 34% | 0 / 17 |
| 4 x 4 | 32 | 1 | 16 | 5.8 | 86 (r1) | 107 (16) | 175 | 20.8 | 162 | 7% | 0 / 17 |
| 4 x 4 | 64 | 1 | 16 | 5.8 | 62 (r1) | 107 (16) | 175 | 20.8 | 185 | 0% | 0 / 17 |
| 4 x 4 | 8 | 2 | 16 | 5.8 | 211 (r1) | 107 (16) | 87 | 10.4 | 47 | 47% | 0 / 9 |
| 4 x 4 | 16 | 2 | 16 | 5.8 | 118 (r1) | 107 (16) | 87 | 10.4 | 140 | 0% | 0 / 9 |
| 4 x 4 | 32 | 2 | 16 | 5.8 | 72 (r1) | 107 (16) | 87 | 10.4 | 186 | 0% | 0 / 9 |
| 4 x 4 | 64 | 2 | 16 | 5.8 | 48 (r1) | 107 (16) | 87 | 10.4 | 209 | 0% | 0 / 9 |
| 4 x 4 | 8 | 8 | 16 | 5.8 | 201 (r1) | 107 (16) | 22 | 2.6 | 65 | 0% | 0 / 2 |
| 4 x 4 | 16 | 8 | 16 | 5.8 | 108 (r1) | 107 (16) | 22 | 2.6 | 158 | 0% | 0 / 2 |
| 4 x 4 | 32 | 8 | 16 | 5.8 | 61 (r1) | 107 (16) | 22 | 2.6 | 204 | 0% | 0 / 2 |
| 4 x 4 | 64 | 8 | 16 | 5.8 | 38 (r1) | 107 (16) | 22 | 2.6 | 228 | 0% | 0 / 2 |
| 4 x 6 | 8 | 1 | 24 | 3.9 | 224 (r1) | 101 (16) | 165 | 28.1 | 16 | 91% | 0 / 17 |
| 4 x 6 | 16 | 1 | 24 | 3.9 | 131 (r1) | 101 (16) | 165 | 28.1 | 109 | 34% | 0 / 17 |
